,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
0,KALYANKJIL,EQ,30-Jun-2022,60.55,60.3,61.6,59.65,59.8,59.9,60.4,"1,88,721","1,13,98,651.30","3,768","85,684",45.40
1,KALYANKJIL,EQ,01-Jul-2022,59.9,58.5,61.8,58.05,61.3,61.4,60.29,"5,01,257","3,02,21,547.95","6,232","1,90,814",38.07
2,KALYANKJIL,EQ,04-Jul-2022,61.4,61.0,62.15,60.25,61.5,61.2,61.5,"3,85,143","2,36,85,230.50","4,870","1,68,911",43.86
3,KALYANKJIL,EQ,05-Jul-2022,61.2,61.15,61.85,60.75,61.5,61.2,61.46,"3,06,264","1,88,22,089.50","3,967","1,19,482",39.01
4,KALYANKJIL,EQ,06-Jul-2022,61.2,61.2,61.75,61.0,61.15,61.2,61.3,"1,92,572","1,18,04,636.05","3,244","1,05,468",54.77
5,KALYANKJIL,EQ,07-Jul-2022,61.2,63.5,65.0,62.5,63.75,63.65,63.77,"24,40,165","15,55,98,237.80","15,188","7,17,923",29.42
6,KALYANKJIL,EQ,08-Jul-2022,63.65,64.0,64.25,62.5,63.15,62.95,63.21,"4,26,126","2,69,35,414.45","5,142","2,03,762",47.82
7,KALYANKJIL,EQ,11-Jul-2022,62.95,62.95,64.25,62.35,63.3,63.75,63.63,"12,56,568","7,99,61,292.35","8,959","6,52,657",51.94
8,KALYANKJIL,EQ,12-Jul-2022,63.75,64.0,65.25,63.0,63.05,63.6,64.25,"9,42,860","6,05,74,890.10","7,233","3,08,594",32.73
9,KALYANKJIL,EQ,13-Jul-2022,63.6,63.75,64.9,63.5,63.9,63.9,64.16,"6,11,846","3,92,56,746.85","4,647","2,45,311",40.09
10,KALYANKJIL,EQ,14-Jul-2022,63.9,63.9,67.1,63.9,65.5,65.65,65.95,"44,54,143","29,37,49,886.20","17,403","18,93,008",42.50
11,KALYANKJIL,EQ,15-Jul-2022,65.65,66.0,67.0,65.65,65.7,66.25,66.22,"14,31,294","9,47,85,342.15","6,947","4,69,506",32.80
12,KALYANKJIL,EQ,18-Jul-2022,66.25,66.35,66.7,64.8,65.55,65.35,65.68,"8,92,548","5,86,18,871.25","5,545","4,34,467",48.68
13,KALYANKJIL,EQ,19-Jul-2022,65.35,65.35,66.2,65.15,65.65,65.55,65.57,"6,23,992","4,09,16,008.25","5,886","1,97,283",31.62
14,KALYANKJIL,EQ,20-Jul-2022,65.55,66.5,66.8,65.1,65.5,65.4,65.78,"4,94,229","3,25,09,365.45","5,225","2,28,750",46.28
15,KALYANKJIL,EQ,21-Jul-2022,65.4,65.5,65.95,64.7,64.75,64.9,65.27,"7,60,020","4,96,04,502.85","7,178","4,19,222",55.16
16,KALYANKJIL,EQ,22-Jul-2022,64.9,64.9,65.2,64.3,64.85,64.85,64.57,"7,69,894","4,97,12,699.75","2,993","5,52,370",71.75
17,KALYANKJIL,EQ,25-Jul-2022,64.85,64.8,66.3,64.55,64.95,65.05,65.28,"10,01,791","6,53,99,527.15","5,782","4,88,881",48.80
18,KALYANKJIL,EQ,26-Jul-2022,65.05,65.1,65.25,63.85,64.3,64.4,64.39,"2,49,754","1,60,81,489.80","2,628","1,29,967",52.04
19,KALYANKJIL,EQ,27-Jul-2022,64.4,64.05,66.25,64.05,65.75,65.7,65.63,"6,25,181","4,10,32,677.30","3,426","2,80,314",44.84
20,KALYANKJIL,EQ,28-Jul-2022,65.7,65.95,66.3,65.1,65.5,65.45,65.77,"4,58,110","3,01,29,550.25","3,143","1,94,935",42.55
21,KALYANKJIL,EQ,29-Jul-2022,65.45,65.8,66.45,64.6,65.25,65.05,65.25,"4,50,671","2,94,06,897.10","2,810","2,27,541",50.49
22,KALYANKJIL,EQ,01-Aug-2022,65.05,65.05,66.1,65.0,65.8,65.6,65.54,"6,88,121","4,50,99,132.20","3,916","2,90,953",42.28
23,KALYANKJIL,EQ,02-Aug-2022,65.6,65.75,66.8,65.4,65.8,65.95,66.06,"7,91,241","5,22,69,308.75","4,295","3,30,020",41.71
24,KALYANKJIL,EQ,03-Aug-2022,65.95,66.0,66.8,65.5,66.5,66.5,66.18,"5,66,955","3,75,18,663.75","4,199","2,90,803",51.29
25,KALYANKJIL,EQ,04-Aug-2022,66.5,67.0,72.35,67.0,70.5,70.3,70.13,"1,15,90,096","81,28,24,406.50","45,858","29,26,544",25.25
26,KALYANKJIL,EQ,05-Aug-2022,70.3,71.6,73.35,70.35,71.5,71.2,72.04,"52,78,841","38,03,06,980.30","28,809","17,04,876",32.30
27,KALYANKJIL,EQ,08-Aug-2022,71.2,72.0,72.0,70.35,71.1,71.4,71.4,"13,47,086","9,61,75,494.75","6,396","7,27,738",54.02
28,KALYANKJIL,EQ,10-Aug-2022,71.4,71.0,71.3,69.0,69.35,69.25,69.54,"9,16,155","6,37,06,611.55","6,210","4,92,108",53.71
29,KALYANKJIL,EQ,11-Aug-2022,69.25,70.5,70.85,69.35,70.05,70.05,70.01,"10,89,653","7,62,81,510.85","5,284","4,25,919",39.09
30,KALYANKJIL,EQ,12-Aug-2022,70.05,70.35,71.65,69.1,69.8,69.95,70.52,"11,70,144","8,25,14,554.55","5,845","3,37,366",28.83
31,KALYANKJIL,EQ,16-Aug-2022,69.95,69.9,71.4,69.5,70.3,70.25,70.48,"9,57,353","6,74,69,665.10","6,319","4,12,585",43.10
32,KALYANKJIL,EQ,17-Aug-2022,70.25,70.75,71.1,70.0,70.6,70.5,70.52,"7,81,193","5,50,87,655.40","4,964","3,29,984",42.24
33,KALYANKJIL,EQ,18-Aug-2022,70.5,70.8,72.9,70.6,70.8,70.8,71.62,"14,44,890","10,34,82,633.40","7,521","4,90,167",33.92
34,KALYANKJIL,EQ,19-Aug-2022,70.8,70.8,71.5,69.75,70.0,70.0,70.42,"15,11,227","10,64,23,477.45","5,379","11,13,845",73.70
35,KALYANKJIL,EQ,22-Aug-2022,70.0,70.5,70.8,69.75,70.2,70.25,70.24,"6,66,533","4,68,18,973.65","4,280","3,73,623",56.05
36,KALYANKJIL,EQ,23-Aug-2022,70.25,69.8,78.0,69.75,77.05,77.35,75.94,"1,47,78,331","1,12,22,11,917.30","51,373","38,82,482",26.27
37,KALYANKJIL,EQ,24-Aug-2022,77.35,77.45,82.85,77.0,80.2,80.05,81.14,"1,77,94,960","1,44,38,67,640.20","65,916","36,55,645",20.54
38,KALYANKJIL,EQ,25-Aug-2022,80.05,80.65,82.7,80.6,81.45,81.5,81.73,"62,40,568","51,00,69,227.00","26,457","22,70,692",36.39
39,KALYANKJIL,EQ,26-Aug-2022,81.5,82.0,82.4,78.55,79.8,79.5,79.67,"41,28,275","32,89,11,356.20","19,203","12,73,463",30.85
40,KALYANKJIL,EQ,29-Aug-2022,79.5,78.1,78.7,77.0,77.5,77.3,77.5,"23,18,315","17,96,71,350.60","9,727","11,16,619",48.17
41,KALYANKJIL,EQ,30-Aug-2022,77.3,78.25,84.2,78.25,81.8,81.65,82.12,"1,07,21,838","88,04,66,206.40","35,891","23,64,981",22.06
42,KALYANKJIL,EQ,01-Sep-2022,81.65,81.6,85.25,81.0,83.9,83.8,83.62,"70,53,833","58,98,73,665.05","34,272","23,65,402",33.53
43,KALYANKJIL,EQ,02-Sep-2022,83.8,84.6,85.8,83.9,84.7,84.8,84.84,"39,88,803","33,84,10,551.80","20,646","15,14,721",37.97
44,KALYANKJIL,EQ,05-Sep-2022,84.8,84.65,85.5,82.1,82.65,82.6,83.46,"24,44,958","20,40,60,234.90","12,880","10,60,636",43.38
45,KALYANKJIL,EQ,06-Sep-2022,82.6,83.0,83.45,80.5,81.05,81.0,81.63,"15,94,766","13,01,73,963.65","9,482","5,01,467",31.44
46,KALYANKJIL,EQ,07-Sep-2022,81.0,80.45,82.85,80.0,82.2,82.2,82.09,"22,46,960","18,44,50,657.80","9,347","6,26,826",27.90
47,KALYANKJIL,EQ,08-Sep-2022,82.2,82.9,83.75,82.2,83.15,83.0,82.87,"18,56,604","15,38,59,722.50","8,361","7,60,462",40.96
48,KALYANKJIL,EQ,09-Sep-2022,83.0,84.8,84.9,81.4,82.5,82.45,83.18,"17,16,231","14,27,53,476.85","8,743","5,63,867",32.85
49,KALYANKJIL,EQ,12-Sep-2022,82.45,82.9,83.55,81.05,81.4,81.6,82.05,"9,83,855","8,07,21,122.95","5,940","5,07,504",51.58
50,KALYANKJIL,EQ,13-Sep-2022,81.6,81.6,84.95,81.6,83.3,83.55,83.47,"29,67,675","24,77,16,345.25","13,615","9,65,209",32.52
51,KALYANKJIL,EQ,14-Sep-2022,83.55,81.9,93.75,81.5,92.4,91.85,90.36,"1,72,50,461","1,55,87,84,660.00","66,393","54,92,914",31.84
52,KALYANKJIL,EQ,15-Sep-2022,91.85,94.1,101.4,92.7,97.85,97.4,97.56,"2,83,43,707","2,76,51,42,789.70","1,04,296","59,51,765",21.00
53,KALYANKJIL,EQ,16-Sep-2022,97.4,97.7,100.5,93.25,94.95,94.3,96.72,"1,03,94,750","1,00,53,49,061.70","43,204","21,97,428",21.14
54,KALYANKJIL,EQ,19-Sep-2022,94.3,95.1,98.45,93.25,97.4,97.7,96.33,"73,07,054","70,38,52,444.20","31,183","16,06,745",21.99
55,KALYANKJIL,EQ,20-Sep-2022,97.7,98.5,100.0,96.25,96.85,96.8,98.01,"59,22,030","58,04,41,508.00","24,938","20,60,032",34.79
56,KALYANKJIL,EQ,21-Sep-2022,96.8,96.15,97.45,92.5,94.4,93.65,94.55,"31,43,324","29,72,00,161.00","15,093","9,80,203",31.18
57,KALYANKJIL,EQ,22-Sep-2022,93.65,94.35,96.0,91.55,94.2,93.75,93.69,"32,27,593","30,24,07,983.15","16,917","9,77,847",30.30
58,KALYANKJIL,EQ,23-Sep-2022,93.75,95.5,95.65,91.85,93.5,93.15,93.72,"30,24,413","28,34,49,224.85","25,879","9,43,779",31.21
59,KALYANKJIL,EQ,26-Sep-2022,93.15,92.7,93.0,85.8,89.3,89.25,89.11,"35,09,626","31,27,38,026.15","22,654","11,31,118",32.23
60,KALYANKJIL,EQ,27-Sep-2022,89.25,90.75,97.7,86.8,96.6,96.7,94.24,"90,94,696","85,70,86,832.30","37,314","17,55,909",19.31
61,KALYANKJIL,EQ,28-Sep-2022,96.7,95.3,99.3,94.0,94.1,94.8,97.08,"90,52,399","87,88,44,527.90","35,430","17,12,944",18.92
62,KALYANKJIL,EQ,29-Sep-2022,94.8,95.95,97.8,93.05,95.55,94.9,95.51,"39,08,108","37,32,73,272.95","18,003","8,00,065",20.47
63,KALYANKJIL,EQ,30-Sep-2022,94.9,95.5,97.3,94.25,96.0,96.3,96.05,"44,47,955","42,72,41,905.00","19,813","9,24,261",20.78
64,KALYANKJIL,EQ,03-Oct-2022,96.3,96.9,97.0,93.6,94.6,94.25,95.25,"24,09,104","22,94,58,046.90","11,720","7,73,631",32.11
65,KALYANKJIL,EQ,04-Oct-2022,94.25,96.25,103.0,94.75,100.75,100.2,100.38,"1,53,29,000","1,53,86,64,380.95","61,458","36,46,140",23.79
66,KALYANKJIL,EQ,06-Oct-2022,100.2,101.6,101.8,98.5,99.2,99.5,100.2,"53,49,504","53,60,15,500.10","27,811","18,06,485",33.77
67,KALYANKJIL,EQ,07-Oct-2022,99.5,101.7,104.65,99.6,101.5,101.75,102.21,"2,50,57,038","2,56,11,82,223.35","73,934","70,80,883",28.26
68,KALYANKJIL,EQ,10-Oct-2022,101.75,100.2,103.35,99.6,102.2,101.75,101.74,"90,27,012","91,84,42,448.00","38,877","24,66,006",27.32
69,KALYANKJIL,EQ,11-Oct-2022,101.75,102.2,103.0,97.0,97.8,97.6,100.27,"46,94,240","47,06,90,869.70","21,158","17,98,460",38.31
70,KALYANKJIL,EQ,12-Oct-2022,97.6,98.7,99.25,94.5,96.5,96.35,96.39,"58,55,614","56,43,96,084.35","25,344","18,95,228",32.37
71,KALYANKJIL,EQ,13-Oct-2022,96.35,96.8,103.8,96.1,100.95,101.0,100.75,"1,82,62,099","1,83,98,37,003.20","60,348","30,82,426",16.88
