,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
0,LATENTVIEW,EQ,30-Jun-2022,337.15,339.3,342.3,331.6,333.2,333.95,337.85,"2,31,369","7,81,68,704.90","7,745","75,041",32.43
1,LATENTVIEW,EQ,01-Jul-2022,333.95,332.0,336.8,330.3,335.15,334.5,333.91,"2,12,311","7,08,92,403.75","6,290","69,814",32.88
2,LATENTVIEW,EQ,04-Jul-2022,334.5,336.0,353.0,335.6,339.2,339.05,339.9,"2,20,149","7,48,27,921.30","9,114","60,220",27.35
3,LATENTVIEW,EQ,05-Jul-2022,339.05,339.3,351.95,338.45,340.6,340.05,344.78,"3,56,661","12,29,69,277.20","12,656","1,06,370",29.82
4,LATENTVIEW,EQ,06-Jul-2022,340.05,341.0,343.9,335.15,342.3,341.75,340.44,"1,85,978","6,33,14,564.25","8,438","57,442",30.89
5,LATENTVIEW,EQ,07-Jul-2022,341.75,345.0,357.9,345.0,353.4,352.8,352.27,"5,60,037","19,72,83,317.95","15,139","1,38,825",24.79
6,LATENTVIEW,EQ,08-Jul-2022,352.8,356.8,368.0,353.15,365.5,365.5,362.48,"5,80,000","21,02,41,179.35","18,023","1,53,495",26.46
7,LATENTVIEW,EQ,11-Jul-2022,365.5,360.0,363.3,355.5,358.0,358.05,359.41,"2,60,083","9,34,75,848.25","9,485","97,731",37.58
8,LATENTVIEW,EQ,12-Jul-2022,358.05,354.5,361.85,351.15,352.4,352.4,356.95,"1,91,966","6,85,23,046.85","8,919","76,294",39.74
9,LATENTVIEW,EQ,13-Jul-2022,352.4,355.0,356.3,346.0,348.2,347.15,349.89,"1,89,631","6,63,49,327.20","8,796","68,136",35.93
10,LATENTVIEW,EQ,14-Jul-2022,347.15,348.2,350.2,308.75,334.7,335.9,341.89,"2,64,190","9,03,23,873.80","8,751","1,07,063",40.53
11,LATENTVIEW,EQ,15-Jul-2022,335.9,338.8,363.3,338.45,352.0,351.2,354.95,"21,12,911","74,99,85,135.80","51,950","3,22,071",15.24
12,LATENTVIEW,EQ,18-Jul-2022,351.2,355.85,374.9,348.65,368.8,369.45,364.75,"10,26,785","37,45,24,838.15","28,601","2,65,350",25.84
13,LATENTVIEW,EQ,19-Jul-2022,369.45,367.9,370.0,360.05,364.2,364.05,365.27,"4,48,212","16,37,19,827.50","13,775","1,35,153",30.15
14,LATENTVIEW,EQ,20-Jul-2022,364.05,367.8,378.8,366.15,367.0,369.0,371.88,"6,75,933","25,13,63,324.40","20,407","1,85,247",27.41
15,LATENTVIEW,EQ,21-Jul-2022,369.0,369.4,376.45,365.65,368.95,369.15,370.79,"3,62,323","13,43,44,820.30","10,254","94,712",26.14
16,LATENTVIEW,EQ,22-Jul-2022,369.15,371.9,374.65,367.0,373.45,372.05,371.15,"3,81,777","14,16,97,979.60","9,653","1,34,236",35.16
17,LATENTVIEW,EQ,25-Jul-2022,372.05,372.95,373.25,364.4,368.0,367.95,367.66,"2,14,658","7,89,20,729.30","7,168","73,137",34.07
18,LATENTVIEW,EQ,26-Jul-2022,367.95,369.0,369.05,352.4,354.0,354.7,359.16,"2,68,909","9,65,81,953.00","8,238","1,23,149",45.8
19,LATENTVIEW,EQ,27-Jul-2022,354.7,353.0,389.9,351.0,382.55,380.25,373.94,"9,31,040","34,81,54,073.75","28,673","2,84,064",30.51
