,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
0,MSUMI,EQ,30-Jun-2022,69.85,69.7,71.8,69.4,70.3,70.4,70.48,"43,85,425","30,90,89,190.20","20,522","27,76,409",63.31
1,MSUMI,EQ,01-Jul-2022,70.4,70.65,70.65,68.95,70.05,70.05,69.56,"22,03,462","15,32,66,080.55","19,129","13,86,267",62.91
2,MSUMI,EQ,04-Jul-2022,70.05,69.9,74.5,69.8,74.0,74.1,73.42,"54,17,415","39,77,58,432.40","26,615","34,46,421",63.62
3,MSUMI,EQ,05-Jul-2022,74.1,74.35,77.8,74.05,75.45,75.6,75.65,"94,06,058","71,15,77,467.55","40,874","56,94,075",60.54
4,MSUMI,EQ,06-Jul-2022,75.6,75.5,78.5,75.0,77.6,77.8,76.98,"60,89,135","46,87,63,149.65","29,887","30,90,663",50.76
5,MSUMI,EQ,07-Jul-2022,77.8,78.55,79.4,74.4,74.8,74.85,76.66,"47,19,178","36,17,83,511.05","31,430","27,22,343",57.69
6,MSUMI,EQ,08-Jul-2022,74.85,74.85,75.85,73.1,73.5,73.7,74.54,"31,06,973","23,15,99,646.65","20,313","16,42,626",52.87
7,MSUMI,EQ,11-Jul-2022,73.7,72.15,79.0,72.15,78.15,77.8,75.63,"60,43,447","45,70,42,520.00","30,213","38,61,162",63.89
8,MSUMI,EQ,12-Jul-2022,77.8,77.9,79.65,76.8,77.0,77.35,78.03,"62,82,682","49,02,27,638.75","37,215","35,86,741",57.09
9,MSUMI,EQ,13-Jul-2022,77.35,77.6,78.25,76.7,77.5,77.35,77.4,"20,55,050","15,90,66,949.60","38,746","11,68,224",56.85
10,MSUMI,EQ,14-Jul-2022,77.35,77.0,79.3,77.0,78.7,78.9,78.28,"46,64,221","36,50,99,829.80","35,973","32,01,879",68.65
