,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
0,POWERINDIA,EQ,30-Jun-2022,"3,144.80","3,130.00","3,165.00","3,125.00","3,150.00","3,151.70","3,147.24","16,430","5,17,09,216.25","2,782","9,967",60.66
1,POWERINDIA,EQ,01-Jul-2022,"3,151.70","3,168.30","3,175.00","3,092.00","3,100.00","3,149.95","3,145.35","17,764","5,58,74,023.50","3,144","11,270",63.44
2,POWERINDIA,EQ,04-Jul-2022,"3,149.95","3,136.00","3,176.00","3,104.05","3,130.50","3,159.00","3,148.66","24,517","7,71,95,619.65","2,974","15,758",64.27
3,POWERINDIA,EQ,05-Jul-2022,"3,159.00","3,159.00","3,259.00","3,141.15","3,247.00","3,229.75","3,213.19","35,518","11,41,26,028.10","6,446","14,433",40.64
4,POWERINDIA,EQ,06-Jul-2022,"3,229.75","3,250.00","3,333.90","3,202.25","3,331.80","3,303.90","3,270.30","27,242","8,90,89,409.90","5,669","11,500",42.21
5,POWERINDIA,EQ,07-Jul-2022,"3,303.90","3,358.00","3,392.20","3,322.00","3,322.00","3,338.35","3,361.34","22,891","7,69,44,433.80","4,678","11,579",50.58
6,POWERINDIA,EQ,08-Jul-2022,"3,338.35","3,338.35","3,358.30","3,260.00","3,262.35","3,274.45","3,307.07","12,778","4,22,57,709.60","3,758","6,079",47.57
7,POWERINDIA,EQ,11-Jul-2022,"3,274.45","3,280.20","3,513.00","3,275.00","3,478.00","3,470.00","3,451.84","92,809","32,03,62,010.15","15,139","29,039",31.29
8,POWERINDIA,EQ,12-Jul-2022,"3,470.00","3,500.00","3,508.00","3,392.35","3,400.00","3,424.55","3,449.25","28,180","9,71,99,968.70","6,478","11,387",40.41
9,POWERINDIA,EQ,13-Jul-2022,"3,424.55","3,426.10","3,521.00","3,426.10","3,468.00","3,471.55","3,475.50","29,456","10,23,74,429.75","5,075","13,622",46.25
10,POWERINDIA,EQ,14-Jul-2022,"3,471.55","3,440.00","3,498.00","3,440.00","3,469.00","3,481.15","3,468.72","9,700","3,36,46,538.35","2,697","4,035",41.60
11,POWERINDIA,EQ,15-Jul-2022,"3,481.15","3,475.00","3,564.95","3,456.00","3,544.35","3,529.75","3,503.29","17,140","6,00,46,409.00","3,228","7,154",41.74
12,POWERINDIA,EQ,18-Jul-2022,"3,529.75","3,569.00","3,674.00","3,560.05","3,570.25","3,590.50","3,603.94","54,744","19,72,93,877.35","11,561","24,580",44.90
13,POWERINDIA,EQ,19-Jul-2022,"3,590.50","3,591.55","3,640.00","3,525.65","3,530.55","3,543.25","3,574.75","30,321","10,83,90,090.80","7,505","13,278",43.79
14,POWERINDIA,EQ,20-Jul-2022,"3,543.25","3,546.00","3,588.75","3,395.00","3,421.00","3,419.35","3,473.37","32,360","11,23,98,197.55","6,326","14,871",45.95
15,POWERINDIA,EQ,21-Jul-2022,"3,419.35","3,439.00","3,494.10","3,277.15","3,449.00","3,377.70","3,396.61","1,09,328","37,13,44,552.35","15,622","50,604",46.29
16,POWERINDIA,EQ,22-Jul-2022,"3,377.70","3,315.50","3,357.65","3,134.45","3,172.95","3,170.20","3,238.29","1,26,054","40,81,98,826.40","19,005","51,479",40.84
17,POWERINDIA,EQ,25-Jul-2022,"3,170.20","3,170.20","3,171.10","3,002.20","3,076.00","3,088.05","3,083.54","93,906","28,95,62,488.45","14,805","40,086",42.69
18,POWERINDIA,EQ,26-Jul-2022,"3,088.05","3,118.95","3,170.00","3,062.20","3,151.10","3,159.35","3,114.14","52,264","16,27,57,603.30","8,488","22,027",42.15
19,POWERINDIA,EQ,27-Jul-2022,"3,159.35","3,176.85","3,248.00","3,141.60","3,241.10","3,243.30","3,218.08","47,847","15,39,75,345.00","6,786","19,375",40.49
20,POWERINDIA,EQ,28-Jul-2022,"3,243.30","3,275.80","3,275.80","3,172.65","3,235.00","3,226.95","3,234.08","29,171","9,43,41,252.50","4,932","12,118",41.54
21,POWERINDIA,EQ,29-Jul-2022,"3,226.95","3,249.85","3,249.85","3,168.85","3,227.00","3,225.25","3,200.55","32,940","10,54,26,125.10","4,787","12,779",38.79
22,POWERINDIA,EQ,01-Aug-2022,"3,225.25","3,238.95","3,320.00","3,194.20","3,307.10","3,310.45","3,275.07","36,431","11,93,14,005.75","6,992","15,379",42.21
23,POWERINDIA,EQ,02-Aug-2022,"3,310.45","3,324.90","3,451.60","3,312.40","3,448.00","3,442.60","3,387.45","57,400","19,44,39,671.75","10,741","20,452",35.63
24,POWERINDIA,EQ,03-Aug-2022,"3,442.60","3,443.60","3,448.25","3,302.40","3,311.05","3,323.05","3,354.85","38,640","12,96,31,487.80","7,255","17,205",44.53
25,POWERINDIA,EQ,04-Aug-2022,"3,323.05","3,357.90","3,498.40","3,317.40","3,436.00","3,444.40","3,379.24","32,055","10,83,21,672.85","6,849","14,417",44.98
26,POWERINDIA,EQ,05-Aug-2022,"3,444.40","3,450.00","3,549.50","3,408.65","3,515.00","3,525.90","3,484.79","40,959","14,27,33,654.75","8,177","21,240",51.86
27,POWERINDIA,EQ,08-Aug-2022,"3,525.90","3,550.00","3,550.00","3,412.50","3,430.00","3,426.65","3,464.93","1,96,377","68,04,32,028.60","6,363","1,77,882",90.58
28,POWERINDIA,EQ,10-Aug-2022,"3,426.65","3,430.00","3,454.80","3,393.55","3,411.00","3,404.70","3,421.49","18,756","6,41,73,427.10","3,594","6,590",35.14
29,POWERINDIA,EQ,11-Aug-2022,"3,404.70","3,450.00","3,450.00","3,264.05","3,302.20","3,301.85","3,333.47","36,362","12,12,11,665.95","7,638","15,479",42.57
30,POWERINDIA,EQ,12-Aug-2022,"3,301.85","3,321.40","3,321.40","3,222.00","3,249.00","3,233.95","3,264.85","31,697","10,34,85,932.90","5,444","14,671",46.29
31,POWERINDIA,EQ,16-Aug-2022,"3,233.95","3,241.05","3,345.95","3,220.00","3,325.60","3,331.35","3,302.35","36,771","12,14,30,707.90","10,233","11,250",30.59
32,POWERINDIA,EQ,17-Aug-2022,"3,331.35","3,355.00","3,420.00","3,318.95","3,399.00","3,396.60","3,382.05","36,091","12,20,61,701.35","9,264","15,482",42.90
33,POWERINDIA,EQ,18-Aug-2022,"3,396.60","3,410.00","3,460.00","3,370.00","3,409.70","3,389.45","3,412.76","29,810","10,17,34,330.55","7,040","12,458",41.79
34,POWERINDIA,EQ,19-Aug-2022,"3,389.45","3,409.00","3,479.00","3,397.05","3,421.00","3,435.95","3,437.54","28,645","9,84,68,399.30","6,703","11,636",40.62
35,POWERINDIA,EQ,22-Aug-2022,"3,435.95","3,447.25","3,680.00","3,421.05","3,516.00","3,536.85","3,588.61","2,10,475","75,53,12,598.85","30,602","77,769",36.95
36,POWERINDIA,EQ,23-Aug-2022,"3,536.85","3,530.00","3,627.70","3,475.85","3,538.00","3,538.65","3,544.22","84,170","29,83,16,975.65","17,110","25,341",30.11
37,POWERINDIA,EQ,24-Aug-2022,"3,538.65","3,557.30","3,611.90","3,500.00","3,514.45","3,517.45","3,536.93","31,881","11,27,60,934.45","9,181","13,379",41.97
38,POWERINDIA,EQ,25-Aug-2022,"3,517.45","3,536.00","3,769.95","3,514.85","3,579.00","3,626.10","3,636.72","1,48,730","54,08,89,735.25","23,890","51,556",34.66
39,POWERINDIA,EQ,26-Aug-2022,"3,626.10","3,645.00","3,848.90","3,640.00","3,678.00","3,683.65","3,742.25","2,08,658","78,08,50,932.75","32,595","68,941",33.04
40,POWERINDIA,EQ,29-Aug-2022,"3,683.65","3,500.00","3,698.00","3,500.00","3,625.00","3,634.10","3,637.74","49,058","17,84,60,282.05","9,885","16,643",33.93
41,POWERINDIA,EQ,30-Aug-2022,"3,634.10","3,677.95","3,798.90","3,670.00","3,731.05","3,744.40","3,749.27","85,977","32,23,50,772.90","15,460","35,512",41.30
42,POWERINDIA,EQ,01-Sep-2022,"3,744.40","3,710.40","3,915.00","3,710.40","3,760.00","3,764.95","3,827.03","1,05,976","40,55,73,834.95","14,353","42,581",40.18
43,POWERINDIA,EQ,02-Sep-2022,"3,764.95","3,847.00","3,856.00","3,748.05","3,782.00","3,770.85","3,786.53","58,093","21,99,71,111.30","11,965","24,891",42.85
44,POWERINDIA,EQ,05-Sep-2022,"3,770.85","3,790.00","3,889.00","3,771.00","3,805.00","3,809.10","3,818.14","50,695","19,35,60,732.50","11,012","20,617",40.67
45,POWERINDIA,EQ,06-Sep-2022,"3,809.10","3,840.00","3,860.00","3,700.00","3,710.00","3,706.95","3,739.87","48,484","18,13,23,752.55","9,613","23,636",48.75
