,Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
0,REDINGTON,EQ,30-Jun-2022,127.95,128.8,129.0,124.8,125.9,125.55,126.18,"11,44,334","14,43,93,269.85","13,743","6,22,895",54.43
1,REDINGTON,EQ,01-Jul-2022,125.55,125.0,128.0,122.6,127.4,127.05,125.11,"10,81,859","13,53,49,825.85","12,371","2,46,737",22.81
2,REDINGTON,EQ,04-Jul-2022,127.05,127.95,129.4,126.75,127.85,128.2,128.05,"7,65,144","9,79,79,312.15","13,571","2,88,726",37.73
3,REDINGTON,EQ,05-Jul-2022,128.2,129.0,130.7,128.0,129.4,129.7,129.53,"15,09,316","19,54,94,481.65","19,629","7,07,536",46.88
4,REDINGTON,EQ,06-Jul-2022,129.7,130.0,130.75,127.35,129.4,129.15,128.81,"10,93,139","14,08,06,283.80","14,627","5,68,969",52.05
5,REDINGTON,EQ,07-Jul-2022,129.15,130.0,130.5,128.6,129.0,129.15,129.37,"18,18,970","23,53,21,793.00","24,796","12,64,915",69.54
6,REDINGTON,EQ,08-Jul-2022,129.15,129.9,134.3,129.5,132.0,132.25,132.34,"27,97,074","37,01,51,430.65","31,718","14,57,758",52.12
7,REDINGTON,EQ,11-Jul-2022,132.25,132.3,134.8,132.05,133.5,133.15,133.09,"17,09,755","22,75,59,811.45","19,361","8,90,322",52.07
8,REDINGTON,EQ,12-Jul-2022,133.15,133.9,133.9,131.0,131.3,131.4,132.01,"15,92,116","21,01,81,163.45","20,979","10,87,923",68.33
9,REDINGTON,EQ,13-Jul-2022,131.4,132.05,132.7,129.3,132.0,131.65,131.27,"17,67,664","23,20,33,444.00","23,884","10,15,385",57.44
10,REDINGTON,EQ,14-Jul-2022,131.65,126.25,126.45,122.0,123.3,122.95,123.73,"32,82,060","40,60,91,096.60","34,348","14,65,807",44.66
11,REDINGTON,EQ,15-Jul-2022,122.95,122.5,123.6,120.8,122.75,122.25,122.1,"12,71,260","15,52,24,295.55","10,047","5,98,371",47.07
12,REDINGTON,EQ,18-Jul-2022,122.25,122.5,125.2,121.15,122.2,121.95,123.08,"18,35,640","22,59,27,515.65","28,907","10,32,076",56.22
13,REDINGTON,EQ,19-Jul-2022,121.95,122.0,125.5,121.8,124.3,124.35,123.65,"13,69,918","16,93,91,779.30","17,719","6,63,074",48.40
14,REDINGTON,EQ,20-Jul-2022,124.35,125.8,125.8,122.0,122.4,122.5,123.44,"16,85,740","20,80,90,043.30","15,391","10,00,551",59.35
15,REDINGTON,EQ,21-Jul-2022,122.5,123.0,123.4,120.75,121.15,121.15,121.77,"18,25,071","22,22,34,578.45","16,875","11,16,564",61.18
16,REDINGTON,EQ,22-Jul-2022,121.15,121.55,122.35,120.05,120.3,120.5,120.82,"15,46,351","18,68,31,971.00","23,787","9,40,327",60.81
17,REDINGTON,EQ,25-Jul-2022,120.5,121.1,122.7,118.05,120.75,121.1,120.55,"18,30,988","22,07,26,796.10","17,002","9,89,281",54.03
18,REDINGTON,EQ,26-Jul-2022,121.1,121.65,124.2,120.1,122.6,122.75,122.31,"15,48,191","18,93,62,793.15","15,203","7,66,011",49.48
19,REDINGTON,EQ,27-Jul-2022,122.75,123.0,124.0,122.35,123.0,122.95,123.07,"13,48,746","16,59,94,176.35","15,442","7,89,792",58.56
20,REDINGTON,EQ,28-Jul-2022,122.95,123.6,125.0,122.9,124.1,123.85,123.98,"13,41,071","16,62,70,253.20","14,622","8,74,445",65.20
21,REDINGTON,EQ,29-Jul-2022,123.85,125.5,126.05,124.05,124.4,124.65,125.0,"22,81,215","28,51,62,047.10","20,803","13,32,356",58.41
22,REDINGTON,EQ,01-Aug-2022,124.65,125.7,129.5,124.75,128.6,129.0,127.92,"23,95,008","30,63,60,747.60","19,492","13,42,336",56.05
23,REDINGTON,EQ,02-Aug-2022,129.0,128.25,131.45,127.5,129.4,129.7,129.84,"23,82,055","30,92,93,950.90","23,147","13,92,431",58.46
24,REDINGTON,EQ,03-Aug-2022,129.7,130.45,130.5,126.6,127.85,127.9,128.15,"12,95,071","16,59,64,416.65","15,832","7,94,160",61.32
25,REDINGTON,EQ,04-Aug-2022,127.9,133.45,141.4,131.25,139.1,139.55,137.13,"2,44,58,653","3,35,40,77,307.25","1,33,280","61,07,958",24.97
26,REDINGTON,EQ,05-Aug-2022,139.55,140.0,146.35,139.55,144.5,144.8,143.47,"79,35,179","1,13,84,21,492.95","44,147","29,12,488",36.70
27,REDINGTON,EQ,08-Aug-2022,144.8,144.85,146.7,143.3,144.55,144.85,144.68,"24,95,736","36,10,79,348.95","19,786","9,99,585",40.05
28,REDINGTON,EQ,10-Aug-2022,144.85,145.0,146.9,140.6,141.5,141.7,144.2,"28,16,307","40,61,01,115.35","37,780","15,92,000",56.53
29,REDINGTON,EQ,11-Aug-2022,141.7,142.95,148.85,142.5,145.4,144.9,145.7,"60,09,380","87,55,44,636.35","39,217","30,67,462",51.04
30,REDINGTON,EQ,12-Aug-2022,144.9,145.4,149.7,144.7,147.0,147.35,147.62,"36,18,043","53,40,93,902.70","24,526","18,77,300",51.89
31,REDINGTON,EQ,16-Aug-2022,147.35,147.8,149.4,144.25,144.55,144.8,145.88,"15,98,811","23,32,31,405.00","15,815","9,60,243",60.06
32,REDINGTON,EQ,17-Aug-2022,144.8,145.05,148.25,144.8,146.25,146.35,146.95,"23,51,273","34,55,16,476.40","22,171","13,55,398",57.65
33,REDINGTON,EQ,18-Aug-2022,146.35,146.95,148.95,146.1,147.15,147.15,147.26,"15,69,469","23,11,18,776.65","21,245","8,02,859",51.15
34,REDINGTON,EQ,19-Aug-2022,147.15,147.7,153.65,146.15,147.3,147.4,150.1,"35,47,801","53,25,14,728.05","26,588","13,06,475",36.82
35,REDINGTON,EQ,22-Aug-2022,147.4,146.5,149.0,144.8,147.2,146.15,146.32,"47,62,709","69,68,66,629.20","21,606","35,15,727",73.82
36,REDINGTON,EQ,23-Aug-2022,146.15,146.5,159.95,145.45,152.3,152.1,154.35,"1,34,44,056","2,07,51,17,580.30","99,629","34,83,174",25.91
37,REDINGTON,EQ,24-Aug-2022,152.1,153.0,153.6,148.6,149.0,149.0,150.13,"24,74,006","37,14,27,075.50","27,188","10,45,732",42.27
38,REDINGTON,EQ,25-Aug-2022,149.0,150.8,152.4,148.5,149.55,149.45,150.27,"17,92,930","26,94,16,139.15","13,465","9,16,555",51.12
39,REDINGTON,EQ,26-Aug-2022,149.45,150.2,155.5,149.9,152.2,152.0,152.31,"62,29,825","94,88,77,130.90","30,408","29,65,183",47.60
40,REDINGTON,EQ,29-Aug-2022,152.0,147.95,149.55,145.6,149.0,149.05,148.11,"24,79,834","36,72,97,011.00","24,880","12,33,620",49.75
41,REDINGTON,EQ,30-Aug-2022,149.05,150.6,154.5,149.85,151.2,150.75,152.18,"46,84,538","71,28,86,778.20","24,682","23,89,843",51.02
42,REDINGTON,EQ,01-Sep-2022,150.75,150.0,151.55,148.5,149.2,149.05,150.2,"23,66,114","35,54,00,307.85","33,921","11,51,215",48.65
43,REDINGTON,EQ,02-Sep-2022,149.05,150.25,150.75,146.8,147.35,147.45,148.12,"15,13,944","22,42,49,000.45","14,757","7,78,968",51.45
44,REDINGTON,EQ,05-Sep-2022,147.45,148.8,152.2,147.65,150.15,150.0,149.66,"27,00,905","40,42,21,526.05","21,821","14,28,942",52.91
45,REDINGTON,EQ,06-Sep-2022,150.0,151.6,156.35,150.5,153.6,153.85,153.7,"84,37,511","1,29,68,23,894.35","39,912","43,16,551",51.16
46,REDINGTON,EQ,07-Sep-2022,153.85,154.0,156.0,152.0,153.4,153.3,154.11,"26,88,287","41,43,00,974.10","21,974","10,29,843",38.31
47,REDINGTON,EQ,08-Sep-2022,153.3,155.0,155.7,151.2,151.6,151.6,152.43,"19,78,784","30,16,16,157.10","20,648","9,55,888",48.31
48,REDINGTON,EQ,09-Sep-2022,151.6,152.8,153.6,150.65,151.55,151.5,151.89,"23,81,464","36,17,09,683.25","14,585","14,21,221",59.68
49,REDINGTON,EQ,12-Sep-2022,151.5,152.45,152.9,149.75,150.2,150.15,151.36,"23,95,453","36,25,74,706.45","11,755","15,99,385",66.77
